Arsalan,18166923
Firangi Madras,18641137
Veg Dhaba,22153
Domino's Pizza,20171
Refuel,18325271
Bollywood Masala,18887712
Pepperz,22130
The Belgian Waffle Co.,18732787
Gupshup Munch,18812925
Nirmal Food Plaza,18603371
Pind Punjabi Dhaba,18343733
Chennai Xpress,18270257
Flury's,18774973
Veg Cafe,18800942
Loaf Espresso,18386809
Singh Flavours,18725463
Pabrai's Fresh and Naturelle Ice Cream,18398885
Gupta Sandwich,18639697
PP's Vegan,18431489
Spices Sauces Shakes,18709791
Veg Dhaba Breakfast,18802636
Baskin Robbins,18452193
Wow! Momo,18563610
Bellyfu,18716855
Fruitose,18678655
Blue Velvet,18786289
Bake O Cake,18386789
Sharma Tea,18287232
The London Shakes,18790247
On My Way,18665581
Street Cafe,18613858
The Chocolatier,25505
Mr. Wrappee,18805447
Mio Amore,25267
Vaishanavi Restaurant,18636656
Sai Jalpan Junction,18287242
Rollick,18670746
Litti Inbox,18734791
SP Chowrasia Pan Shop,18629223
Night Queen,20816
Bhikharam Chandmal,24468
Go Veg,18513923
New Kalika,25421
The Waffle Company,18657639
Annapurna Sweets,18281741
Chopstick,18368669
Pink Sugar,18420409
Kingston Hotel,18134897
Cafe Coffee Day,21898
Night Queen Restaurant,18862801
Ghar Ka Swad,18485913
Food Culture,18723247
Kalika sweets,18281738
ONAM,18881701
Daily Bellies,18649314
Ralli's,18687038
Vezlay,18667114
VIP Sweets,24646
Sweet Obsessions,25082
Indian Cafe & Food Center,18779821
Bhikharam Chandmal,18888309
Veggie Delights,18296361
Chocolicious,18325253
Nirmala Snacks,21268
Roti di Potli,18303884
Paramparaa,21586
Anapurna,25419
One Step Ahead,25148
Haji Biryani,18894787
Suruchi,18891679
