Dada Boudi Restaurant,17983797
KFC,18698012
Wow! Momo,18862278
Domino's Pizza,23973
Koley's Kitchen,23644
Kasturi Restaurant,18663023
DB's Kitchen,18265466
D Bapi Biriyani,18619821
Aminia,18311142
The Barracks,18793165
Sudama Roll Centre,18578452
Chickni,18553035
Sona Restaurant,23204
O Pizza,18611657
Bahari Hesal,18864863
Hot Kettle,18545062
The Fusion,18856790
Ramkrishna Sweets,25172
Mio Amore,25352
Khana Peena Food Corner,18559831
Dream Bar & Restaurant,23348
Ahare Nola,18799031
Punjabi Restaurant,18631948
Hayat,18224067
Maha Laxmi Juice Center,18441312
Tripti Ghar,18883917
Hotel Ubique,24381
Haji Shaheb,24263
Karri Klub,22662
Samrat Hotel & Restaurant,18807595
West Wind,24262
French Caterer,18793256
KK's Kitchen,18785784
Coffee With Love,18801864
Tasty Chinese,18793118
Amarjit Hotel & Restaurant,23203
The Sugarr & Spice,25177
JD Foodies,18854597
Hanglo,18807704
Badsha Restaurant,18863326
Samrat Restaurant,18695599
Spice Garden,18354597
M/S Samrat Restaurant,23132
The Park Restaurant,18420516
V Cafe,21830
Bengali Quisine,18669030
Rannaghar,18733048
Happy Singh Da Dhaba,18888651
Click Eat,18610314
Biswamata Sweets,18444378
Charlie Restaurant,18565897
Aahar,18619820
Lovonio,18635606
Asian Meals,18666121
Kathi Junction,18733275
Punjab Restaurant and Madras Tiffin,18791901
Misti Kitchen,18793254
Tiffin Time,18817417
Roti King,18886097
Ashirbad Biriyani,18619819
Dada Bhai Hotel,18549340
Ramkrishayan Sweets,23123
Orchid Hotel & Restaurant,24196
Adda Cafe,25179
Crispy Crunchy Cafe,18536743
Meat and eat,18542106
Haldiram's Prabhuji,18893797
