Tandoor Park,20518
Kabuliwala,18638524
Marhaba,18519014
Hungry Tide,23894
Bigg Belly Express,18668613
Food Fantasea,18833132
Moonlight Sonata,23625
Hot Stuff,18871289
Hot Tray,21333
Mio Amore,25282
Happizzaa,18654741
Arambagh's Chicken,24681
Suresh Mistanna Bhander,23904
GoFo,18701848
The Korner Cafe,18575300
Padmaparer Bhuribhoj ,18626946
Monsoon Hut,21156
Dish,18741151
Fish Bar,18162669
Joy Baba Lokenath Snacks,21058
Asian Bistro,25114
Hungry Hunter,22194
New Mirch Masala,21124
Khushi South Indian Food Plaza,23220
Boudir Mistir Dokan,18382557
Gupta Sweets and Chat Centre,18610970
Tagore's Kitchen,18692723
Momose,18808263
Just Baked,18162648
Kathleen,21190
Surandhan,18633540
Bengal Food Factory,18676389
Roy Hotel,18639558
Lepchas Food,18423241
Taraknath Mistanna Bhandar,18224037
Flavours,18673825
Dolly's The Tea Shop,21381
