Calcutta Bistro,20613
Denzong Kitchen,23295
Calcutta Pi,18810764
Cafe Art Street,18745513
Bawarchi Family Restaurant,20061
Golden Gate,20681
The Big Byang,18856557
China Green,25078
Cafe : Plot 15,18571713
Burger N Fried,18794901
Koko Chino,18665899
Banzara,20904
The Chef,20735
Hindusthan Sweets,22904
M M Fast Food Center,18343767
Ajooba Biryani centre,18125591
Cantonese Restaurant,18386814
Maa Trinayani Restaurant,18213969
Liza's Kitchen,18852900
Koshe Kosha,18162689
Naushiijaan,18677155
Bellagio,21558
Saptapadi,23953
Kamdhenu's,22091
DEF,18134890
Wow! Bangali,18752298
Kasturi Restaurant,18237060
Bazeegar,22172
Go Chinese,18461763
Banchharam,22594
Beche Thakar Gaan,18655558
Silver Dine,18824061
Aanja,18573802
Hindustani Dhaba,18795187
Bhooter Raja Dilo Bar,21435
Moni Da's Food Cafe,18260589
Swissyum Concept Foods,18414438
Blue Lagoon,20085
Food Valley,21392
Bon Ami,18221909
London Lounge,24463
Cafe Kabira,18431332
The Nest Cafe,18296363
Mio Amore,25257
The Chicken Xpress,18685995
Swader Kitchen,18801700
Bake Club,21635
The Fried Factory,18457102
Krazy Biryani,25597
Shampa's Kitchen,18296329
Ahare Bahar Ranna Ghar & Mexican Food,18877765
Zaika,21484
The Dhaba,21694
Paparazzo,18686082
Suruchi,21969
Badshah Snacks,22022
China City,18735848
Flavour of Chennai,18818057
Asian Mix Eating House,18531788
Chocojaadu,18296357
RFC,18559077
Tanjore,24450
Bedwin,21413
Indian Coffee House,21763
Kathleen,23054
Shree Krishna Mistanna Bhandar,18277612
Golpo Gujob,18719475
Adda O Baithak,18622205
Bake Paradise,22657
New Veselka,18420495
The Drums of Heaven,18800917
Just Sandwich,18778734
Wow Burger,18557439
Chennai Express,18559245
Thali - Only Alibaba,18281737
The French Loaf,18617895
Soya,23882
Food Valley Hotel,25079
Jaiswal Tasty Corner,18265449
Old Ajooba Biryani Centre,18857918
Parathas,18744189
Bhukkar Party,18766103
The Pool Cafe,18718410
Kolkata 32,18452224
Sukla's Kitchen,18616978
Alshe Burro,18650066
Mom's Magic,18640949
Sampa's Kitchen,18650875
Sima's Fast Food Centre,22860
Saha Food Snacks,25521
Khaibar Cafe,18754239
Rannaghar,18795810
Madhurima's Kitchen,18265475
Royal Food Valley,22151
Amra Odbhuth Cafe,18733416
2 High Chefs,18640335
Dalchhut Adda,18578568
Indo Chinese,18751470
Labanga,18790680
Just Fried,18566720
Mishti Mukh,23860
New Sri Hari Mistanna Bhandar,18382554
The Howrah Bridge,21475
Pan-tastic,18684673
Tara Hassel,18727510
Kokobana Garden Cafe,18249173
Cafe Coffee Day,18420378
Southern Spice & Bango China,18571937
Spiced!,18624278
As You Like Eat,18658326
Jhoro Kitchen,18697253
Mishti Katha,18720951
O 3 Rolls,18741653
Ganguram & Sons,24393
Mumma's Love,18431474
Nandan's Kitchen,18771612
Loonfung,18775766
Bengal Food Factory,18676386
Ghosh Sweets,24108
Pure Indulgence,18498772
The Sugarr & Spice,18070801
Monda Mithai,22906
CFC,18549460
Lord Shiva's Den,18498776
La Cocina,18763434
iinsta Food,18763300
Roll Man,24852
