Cassoulet Restaurant,18162654
Zaareen,18653854
Gupta's Veg,21483
The New Red Chilly,18535732
Kathi Junction,18623944
Swad,18162667
Bala Kitchen,18440200
Firang Punjab,18833911
QFC,18606738
Magnum,18660731
Pizza Kingdom - Royal Taste of Italy,18691091
Foodie,18863248
Food Gossip,18586437
Rozana,18659609
Mio Amore,25297
Krispies by Cassoulet,18740148
E-Restaurant,18856107
The Urban Spoon,24162
New Tasty Taste,18641160
Food Break,18851792
Kolkata Kanteen,18595015
Sai Jalpan Junction,18431448
PiuCookShop Bakery,18708728
New Mezban Biriyani Palace,24941
IFC,18631245
Ganguram,24391
Chingari,18790188
Spice Counter,18368691
Golden Sun,25750
KIFO - Food's by Kilo,18458033
Pepperz ,18654731
i-Fit,18626345
Chakle,18461732
Indus Pizza,18586622
New Bala Kitchen,18867741
Ram Bhog Fast Food Centre and Restaurant,18346669
Scone,18662087
Dial a Dinner,18720498
Ghosh Sweets,24158
Ambrosia,20744
Aamar Bangla,18526315
Morning Meal By Mom,18420406
Saha's Restaurant,18664320
Just Fry,18692895
One Up,18682350
Super Haji Biryani,22104
A1 Haji Fast Food Centre,18806536
Appayan,24943
Bapi Hotel & Restaurant,22835
Anna's Cafe,18741818
Chillies,24165
Panchphoron,18684665
Shawn's Hut,18754977
Just Baked,18217454
Ahaar Restaurant,18214000
Picnic Restaurant's,18720122
Fluffy Treats,18017640
Ahar Hotel & Restaurants,18678059
Banchharam's,18343742
Pradhan N Choudhury's Kitchen,18666575
The Fried Factory,18682432
Frying Pan,18605615
Dhanashree,18779113
The Punjabi Brothers,18582440
Lords Restaurant,21436
Little Hatke,18636903
New Little Chef,21250
Bhojpatra,18771527
New Town Food Centre,18663101
Krishna Bhog,24157
Mondal Sweets & Confectioners,24156
Shree Ganesh Nasta and Sweets,24166
Rasoi,24496
China Gang,18885037
Aahar Hotel & Restaurant,22240
Jibh-E-Jol,24147
Momo Cellar,18727926
Tara Maa Sweets & Confectioners,24163
Dalchini,18610437
Me and Coffee,18710719
Hungry Hub,18440209
English Bakes & Muffins,18452217
Kathleen,22088
Rekha's Kitchen,18605700
Foodizo,18657883
Delicious & Yummy,18679093
Eatarean,18710175
Shrimon's Kitchen,24937
The Chef S.P.L Food,18887191
Bengal Food Factory,18676420
Chatakk Matakk,18631282
Food Studio,18776883
New Arsalan Biryani House,23945
Sarathi,24159
Just Chinese,18343740
Maa Tara Restaurant,18689882
Silver Chimney,22831
Fine Food Kitchen,18662193
Parivar Biriyani,22840
Pasteleria Bakery,18892241
