Domino's Pizza,20629
Flavours,18270251
The Noodle Hub,18217433
Royal Fast Food Taste ( TASTE-A-BEST),18677555
The Magic Burner,18677119
Tirupati,21937
Zaikebaaz,23512
A Date With Me,18718269
Wake & Bake,18665237
Momo & Adda,18789690
Mumbo Jumbo,18682165
Cafe Coffee Day,25062
D Win Dragon,22446
Apanjan Kalighat,18853700
Mio Amore,25307
Wow! Momo,18655623
Hunger Struck,18808389
Azad Hind Dhaba,18562312
Anish Fast Food,24424
Bengal Pizza Service,18143237
Curry Pot,18217479
Swadey Allahdey,18698473
Tejus Tandoor,18683283
Little China,24599
Kwality Wall's Swirl's,24035
Ichha Puron,18259431
Gungun's Yummy Kitchen,18684790
The Gourmet Club,25557
The Sugarr & Spice,25061
New Barnali Kitchen,18789494
Happy Eating,18555937
Tibetian Food's,18549471
The Steamin'Cup,18717237
Madly Idly,18616734
Baskin Robbins,18482441
Preety Kitchen,18863908
Ria's Little Bakery,18525783
Amys Baked Bouquet,18581445
Shahi Noor,18759791
Eat & More,18780472
Rannabati,18644306
Renuka Bhojonalaya,18700624
Tea Junction,18707649
Nu Sagar,18198669
