The Flavours,18735232
Domino's Pizza,18162649
Haji's,18741849
Baboorchi,24637
Cafe Club Restaurant,18583956
Hunger square,18673421
Wow! Momo,18604394
Crazy 4 Cakes,18865563
Amar Key-Chain,18265438
Steamos,24877
Moghlai Village,18403759
Snack Shack,18693100
New Kolkata Taj Hotel,18852493
The Chickenette,18862932
Bedwin,18583957
Bindas,18134907
Zaffran,18524615
Damodar Seth,18452213
Ayesha Multi-Cuisine Restaurant,18584054
The Sugarr & Spice,18576678
Hookup Cafe,18637960
Butter Fingers,18514653
New Shibani Sweets,23105
GOOD VIBES CAFE,18807257
Kolkata Choolah,18861693
Cafe Coffee Day,24648
Moon's Cakes n Cooks,18599796
SenG's Kitchen,18603432
Shahi Biriyani Darbar,18688609
Rubai's Kitchen,25070
Mio Amore,25296
RR Kaizen,25554
Prince Cafe & Restaurant,18424713
Suraha Snacks,18621730
Monica Confectioners,18673524
Kathi Junction,18708271
Kathleen,22975
Monjoy Sweets & Confectionary,23107
Bijli Sweets,23098
Gappaywale,18729493
Annarokam,18805437
Bong Delicacies,18345386
Just Cooked,18575874
Ashma Hotel,18603067
Khana khazana,18610732
Rolls - N- Kebabs,18708899
Hungrill,18895656
