Blue And Beyond,21636
Nizam's,21176
Aminia,20012
Threesixtythree - The Oberoi Grand,18431471
Nahoum and Sons,21211
KFC,20737
Kasturi Restaurant,21576
100Mt.Park Street,18718055
Zaranj,20600
Scoop,20456
Hogg's Room,18673556
Raj Spanish Cafe,22095
SOI - The Asian Street Kitchen,21060
U.P. Bihar,18368664
Cafe Chicken Basket,18708387
Blue Sky Cafe,22056
Aaheli - The Peerless Inn,21581
Domino's Pizza,20172
Baan Thai - The Oberoi Grand,21523
K.C. Das,22076
The Lalit Great Eastern Bakery,18398854
Ruchika Restaurant,25055
Jimmy's Kitchen,23233
Mio Amore,25310
New Empire Bar,20872
Anadi Cabin,22169
The Esplanade,18867694
Foodizo,18562482
Hotel Sidheshwari Ashram,18288868
Sultan Biryani & Fast Food Centre,18821952
Biryani House,25058
The Bhoj Company,21868
New Cathay Restaurant and Bar,21579
Soni Fast Food,18653144
Sunset Resto Bar Lounge,21607
Oceanic - The Peerless Inn,21580
Heritage Karco,20817
Kwality Wall's Swirl's,18198658
Darjeeling Momo Junction,22554
Dhaba@khalsa,23920
Badshah Bar & Restaurant,20765
Radhuni Restaurant,20793
Shree Krishna Mistanna Bhandar,25447
The Bar - The Oberoi Grand,18461738
China Town,22787
Orko'ss Express Cafe,18377114
Momore,25632
Sweet Treats,25706
Kathleen,21204
On The Rox,22646
Mancherji's,24685
The Sugarr & Spice,18070789
Nik's The Momolicious,23174
The Friend's Home Restaurant,21456
Prince Restaurant,20412
The Mark Restaurant,18134888
Dawat Restaurant,20778
Cafe Coffee Day,24907
Oasis Restaurant,21642
Maharaja,23285
Spice Project,25728
Super Pub,22539
Rang Mahal,20868
Hindustan Bar And Restaurant,20880
Speak Easy,20860
Ganguram,24403
Food Plaza,23736
Ego Retro Lounge - The Peerless Inn,21582
Sarang,21052
Swad Snacks Bar,23737
Pepsi Snacks Bar,23739
N.V. Stores,18577440
Super Fried Chicken Restaurant,20506
Swastik Bar,21155
Blue Sapphire,21680
Imperial Bakers & Confectioners,24592
Paris Bar & Restaurant,25054
Super Star Haji Biriyani,18880377
The Princess,22545
The Co,24887
North & South Indian,24257
Krishna Vilas,21438
Gaylords Restaurant,21606
Dynasty Restaurant,21388
Tewari Restaurant,21283
Yes Momo,18398861
Cafe Delight,22528
M4U,24917
Tea Lounge - The Peerless Inn,21583
Kafe Caramel,21600
Tava,21994
Islami Yadgaar Hotel,18573257
Lotus,21602
Maria Fast Food,22117
Nand Da Dhaba,18776884
Dhansiri,21144
Brother's Snack,23117
New Chowringee Cabin,18360342
Regent Restaurant,23178
Tea Junction,22372
The Tiffin Box,21063
Hong Kong Chinese Restaurant,18259457
Punjabi Snacks Bar,22158
