Wok Right In,18848655
Hao Chi,18398853
Raajbarir Khawa,21859
The Cake Counter,18273044
New Arsalaan Biryani,18524724
Facilitti,18859563
Illusion,21568
Siam 37,18716697
Aami Bangali,18224029
Baskin Robbins,18521495
Bawarchi Fast Food,21402
Cozy Nook,20685
Fiesta,24590
Cafe Coffee Day,23565
Shahi,18265432
Just Eat,18634305
Kamdhenu's,23741
Sizzling Sizzler,18259454
The Oven Stories,18592451
Domino's pizza,18259442
Zest Sweets & Snacks,23867
The Calcutta Calling,18884872
Tea Junction,23695
Oye Wrap,18579452
Mio Amore,25334
Koshe Kosha,18730270
Subway,18166922
Fresh Lime Catering Services,18716173
Fresh Lime,18750660
Hidden Dragon,18259458
The French Loaf,20948
Didir,23884
Z Momo,18720343
New Om Shanti,18665798
Capsicum SR The Best,18568837
Brewbakes,18686933
CFC,18259456
Khana Khazana,25161
The Walking Street,18638385
Foodies Cafe - Yo! Momo,18566862
Chat Pata,18265436
Mouchak,25162
Santafi,18667528
Archana's Kitchen,18469375
Indiana,18565951
Tasty Treat,18713809
Bangalir Tero Parbon,18729631
Beas Home Delivery,18755583
Mom's Magic,18773132
China Mix,18858400
Banchharam's,18237053
Kwality Wall's Swirl's,24046
Disha Snacks &amp; Fast Food Corner,18598028
Z Momo,18720462
The Carry Out,18746441
Kolkata Eatery,18881495
Hot N Fresh,18162697
Chill Pill,18265434
Coconut,18259445
Republic Of Chicken,21813
Loon Fung,18386805
The Sugarr & Spice,25159
