Aminia,25208
Golbari,21612
Cafe Coffee O Kobita,18420477
Mitra Cafe,21126
Punjabi Hotel,18825634
Swader Pahar,18675205
Sanghai Pure Chinese Food,21982
Anir's,21055
Dimpi,21996
The Mombasa,21933
Mr.Burger,18388305
Tripti Snacks Bar,22447
Sen Mahasay,24532
Bhojohori Manna,18544030
Amrit,24174
Nebula Restaurant,21697
Haridas Modak,22365
Neelachal,22354
Tongue Twister,21344
Mio Amore,25263
Chinese Wall,21984
Nisha's Bakery,18249187
Dilruba Restaurant,22925
Bake Club,25220
Dhaka Biriyani House & Restaurant,23438
Cafe Coffee Day,18414434
Wow! Momo On Wheels,18361644
Hotel Priya,22016
Just Baked,21029
Bholanath Cabin,18456383
Annapurna Restaurant,18636406
Sanjibani Cabin,18621993
Tiffin Break- A Unit Of Hangla Biral,18684946
Dwarik Grandsons,22955
Kathleen,22998
Street Food Junction,22954
Nepali Suman's Momo,23474
Sital Ashram,25757
Appayan Ka Hyderabadi Biryani,18862291
Shital Fast Food,18546706
Momo Centre,18691692
Arzoo Biryani,18881718
Khawab,21727
Maa Kali Road Centre,23470
Gopals Kitchen,18350912
Sundaram Sweets,18481383
Take Baked,18622893
Bong Chinese,18696594
Shanti Hotel,22358
Platter,24321
Metro Hotel,25729
Rupa Restaurant,22448
Five Point Cafe,18393918
Kali Kebin,22357
Punjab Hindu Hotel,22366
