Chowman,18471936
FoodPath,21892
Capnil Kitchen Restaurant,21718
Chak De Phatte,18589905
Mio Amore,25250
Dhakai Handi,18793095
Domino's Pizza,24543
Pleasure,24281
Mahua,24073
Jalajoga Mishti,18136926
Dolphin,18551164
My Kolkata,18614757
Cafe 80's,18567741
BakeBerry,18541114
The Cric World,18017617
Banjara,23154
Just Fried,18503518
Haunted Club,18681662
Vaibhav,18601659
Schezwan Dhaba ,18636954
Laxminarayan Mistanna Bhandar,24072
The French Loaf,18481377
Tandoor-E-Night,18852511
Nh2 Food Junction,18309458
Mr & Mrs Idly,18609225
The Chicken Kitchen,18498771
Jaiswal Food Corner,18886837
Bakin' Smiles,18567803
Food Club,18596483
Gitanjali Restaurant & Hotel,18765480
Chaplin Chinese Restaurant,22463
Annapurna Jalojog,18742308
The Taste of Bengal,18797126
D'Sinful Cup,18607773
Ayush Fast Food,18521187
Hotel Jajabor,18881690
