Domino's Pizza,24311
Delicious Taverna,18198698
Food Junction Reloaded,18544540
Rajdarbar,18817368
Wow! Momo,18602636
Food Diaries,18839850
Fries King,18746428
Punjabi Food Junction,18386974
Swade Ahlade,18530236
Disha Bar & Restaurent,18198677
Swaad,18868058
Saffron,18557765
Mio Amore,25341
Saezal,18611725
Saffron Food Cafe,18213954
Penguin Dhaba,23114
Dubbawala Street Cafe,18716704
Cafe Coffee Day,24013
What a Roll,18655783
Adiram's,18447690
Shibani Sweets,18198668
Shree Hari Veg Kitchen,18851405
Sheereen & Sristi's Fast Food Centre,18446882
Momo Junction,18449027
Hungrybaaz,18777113
Just Baked,18213958
Cakes In The City,18566841
Wow! Momo,18779562
The Royal Spice,18616066
Big Bong,18853694
Penguin,18143277
Dhaka Biriyani House,18213956
Uchhash Restaurant,18881434
Aakash Caterer,23436
Hangout Cafe,18863237
The Holy Grail,18736464
Z Momo,18778438
Konica Restaurant,23103
AFC - Awesome Fried Chicken,18680284
TIME PASS,18678695
Snazzy,18810753
Pyknic,18754051
Ahare Bahare,18411061
Rannar Ghor,18675258
Tasty Fuchka,18886255
Penetti Coffee House,18288717
Shibani Cuisine,18888339
Lajawab Shahi Biriyani,18570646
Chung Wahh,18249164
Aafgani Dhaba,18793087
Kebab Kolkata,18591023
Pramathanath Mistanno Bhandar,18386208
Ranga Pisir Hessel,18604720
SUSWADU,18673638
Mahi Fast Food Centre,18730796
The Sugarr & Spice,18128508
Nilu' Rannaghar,18603257
7/12 Fried Ice Cream Parlour,18885965
Sodepur Inn,18143234
Tempting Delicacy,18724580
The Hookup,18612992
Maa Durga Sweets,25622
The Shaf's Lounge,18583950
Master Chefs,18485690
Penguin Food Centre,18895629
